Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1658858830.4794033,7117,1658858830,475748608,map,1.1799031496047974,13.031641960144043,3.8824470043182373,0.004482178885373081,0.013116699598619325,-0.7555273293712543,-0.6549704702024505
1658858830.5281475,7118,1658858830,525748096,map,1.1692471504211426,13.026749610900879,3.88127064704895,0.005127627515947015,0.012743931529563674,-0.7541046208642239,-0.6566106307671639
1658858830.5782225,7119,1658858830,575748096,map,1.1592836380004883,13.021377563476562,3.8789775371551514,0.005974487573722882,0.011989208069349788,-0.7521375644950407,-0.6588699784203025
1658858830.628309,7120,1658858830,625747840,map,1.1502904891967773,13.01558780670166,3.875856876373291,0.00586063559467702,0.010646192742560727,-0.7494728521698863,-0.6619235268449447
1658858830.6783051,7121,1658858830,675747840,map,1.1413071155548096,13.009763717651367,3.873225212097168,0.006932218200302514,0.00979389789278457,-0.7464813321479076,-0.6652981622322237
1658858830.7321215,7122,1658858830,725747584,map,1.1324483156204224,13.003844261169434,3.8710293769836426,0.007703781737889294,0.00925078338545611,-0.7426289792993649,-0.6695948579988302
1658858830.77821,7123,1658858830,775747584,map,1.12301504611969,12.999913215637207,3.8682169914245605,0.009627380331608914,0.009286128487331725,-0.738381179512784,-0.674250928888479
1658858830.8280628,7124,1658858830,825747328,map,1.1136085987091064,12.997659683227539,3.8649463653564453,0.010359687855986436,0.008603337966176433,-0.733077146924312,-0.6800121734944725
1658858830.8780956,7125,1658858830,875747328,map,1.1045058965682983,12.994951248168945,3.862076997756958,0.010031564072265312,0.0072433029522432114,-0.7269433587286491,-0.686585941805479
1658858830.9281542,7126,1658858830,925747072,map,1.095660924911499,12.991854667663574,3.859510898590088,0.009965129475773339,0.006564670344337989,-0.7202347433675164,-0.6936277933763388
1658858830.9781594,7127,1658858830,975747072,map,1.0856447219848633,12.988588333129883,3.8580572605133057,0.010319851321403839,0.0067227676005136,-0.7137125757381878,-0.700330396525565
1658858831.0283527,7128,1658858831,25747072,map,1.0749845504760742,12.985231399536133,3.8575921058654785,0.010178505593528432,0.006270508020731076,-0.7072921058352283,-0.7068203136414604
1658858831.0784137,7129,1658858831,75747072,map,1.064839482307434,12.981663703918457,3.857379674911499,0.010074310981394944,0.005830426418841114,-0.7011665292473618,-0.7129025267518927
1658858831.1283946,7130,1658858831,125746560,map,1.0551350116729736,12.977903366088867,3.857323169708252,0.01004922189872527,0.00488841138507405,-0.6954792558672582,-0.7184592690136896
1658858831.1779854,7131,1658858831,175746560,map,1.0449129343032837,12.974928855895996,3.856283664703369,0.010653636329586949,0.004269232959726592,-0.690589278978426,-0.7231560837350054
1658858831.2282565,7132,1658858831,225746560,map,1.0344218015670776,12.9725923538208,3.8544373512268066,0.011602936378915067,0.004397529697638473,-0.6861231434878132,-0.7273795883652131
1658858831.278069,7133,1658858831,275746560,map,1.0244789123535156,12.969858169555664,3.852863311767578,0.011816972071603942,0.004224993919954944,-0.6819086324218259,-0.73132969693978
1658858831.3282115,7134,1658858831,325746304,map,1.0152602195739746,12.966793060302734,3.8515536785125732,0.010411354672346256,0.0030317669355688004,-0.6780865895682994,-0.7349020268925426
1658858831.3780494,7135,1658858831,375746304,map,1.0065062046051025,12.963499069213867,3.8506834506988525,0.009668705842465273,0.002254256967447427,-0.6747620748188173,-0.7379685473237063
1658858831.4280548,7136,1658858831,425746560,map,0.9989649653434753,12.960613250732422,3.8500633239746094,0.009497179772228054,0.0018780747374824791,-0.6723122303727366,-0.7402043915722809
1658858831.4781508,7137,1658858831,475746560,map,0.99171382188797,12.957433700561523,3.8496053218841553,0.010007981815089651,0.0018507901294280524,-0.6701613110879218,-0.7421456945888747
1658858831.5283139,7138,1658858831,525746304,map,0.9848895072937012,12.95401382446289,3.849296808242798,0.010319182740728764,0.0022509596961941963,-0.6687190290925841,-0.7434401843978311
1658858831.5781822,7139,1658858831,575746304,map,0.9785794615745544,12.952518463134766,3.8483450412750244,0.010211907000764651,0.0017507014064939846,-0.6674703419647577,-0.7445642984977474
1658858831.6312375,7140,1658858831,625746048,map,0.9725070595741272,12.952483177185059,3.846841335296631,0.010371944906923461,0.00202668553790765,-0.6667259270569449,-0.7452280546883856
1658858831.6781008,7141,1658858831,675746048,map,0.9667379260063171,12.951762199401855,3.8456344604492188,0.010876652245453408,0.002215145062891951,-0.6663748743094212,-0.7455342503583489
1658858831.727908,7142,1658858831,725750144,map,0.9613174200057983,12.950505256652832,3.8447577953338623,0.010722305949644923,0.0031828658865579677,-0.6665142691149533,-0.7454083649825979
1658858831.7779737,7143,1658858831,775750144,map,0.9562667608261108,12.94885540008545,3.8441708087921143,0.01065727339214057,0.003306080265404349,-0.6669317297075688,-0.7450352745114787
1658858831.8281953,7144,1658858831,825749632,map,0.9532819986343384,12.951321601867676,3.8478407859802246,0.010323678556820447,0.004037899571997363,-0.6676463249308314,-0.7443960651658876
1658858831.878243,7145,1658858831,875749632,map,0.9503962993621826,12.952932357788086,3.8511688709259033,0.010474581490304051,0.004147554454797459,-0.6685997666244998,-0.7435371093659762
1658858831.9281547,7146,1658858831,925748864,map,0.9475762248039246,12.953695297241211,3.8542416095733643,0.010076940062732208,0.004634408651454797,-0.6697492323437568,-0.7425045072660313
1658858831.978055,7147,1658858831,975748864,map,0.9442480206489563,12.953971862792969,3.8562707901000977,0.010314691229601339,0.0042628086307638655,-0.671112536117012,-0.7412714748821835
1658858832.02832,7148,1658858832,25748096,map,0.9404752850532532,12.953778266906738,3.857477903366089,0.01030786738791778,0.004751971818385198,-0.6725732221909375,-0.7399435298895788
1658858832.0781386,7149,1658858832,75748096,map,0.9369112849235535,12.952991485595703,3.8584015369415283,0.010920132175752077,0.004432738689976476,-0.6742338153934084,-0.738423905166279
1658858832.12802,7150,1658858832,125747840,map,0.9335829019546509,12.951709747314453,3.8591084480285645,0.011005827215221604,0.004552563144439361,-0.6759067829518721,-0.736890878418084
1658858832.1781273,7151,1658858832,175747840,map,0.9297330379486084,12.950860023498535,3.8601162433624268,0.011586308546388197,0.003615917186461917,-0.6775807464034422,-0.7353482268289783
1658858832.228046,7152,1658858832,225747328,map,0.9254744648933411,12.950360298156738,3.8613414764404297,0.012147608586951596,0.0030172238354829765,-0.679347326409487,-0.7337101212783061
1658858832.2789567,7153,1658858832,275747328,map,0.9215648770332336,12.949372291564941,3.862368583679199,0.012352061026957599,0.002365915792002787,-0.680932316746009,-0.7322383553473311
1658858832.328211,7154,1658858832,325746560,map,0.9180002212524414,12.947997093200684,3.8631863594055176,0.0126530360084277,0.0012582379665548058,-0.6825054595489929,-0.730769878417828
1658858832.3778768,7155,1658858832,375746560,map,0.9148321151733398,12.946367263793945,3.863738536834717,0.012366595679451206,0.0007422222384621971,-0.6839831774541858,-0.7293925756251743
1658858832.428113,7156,1658858832,425746048,map,0.9107939600944519,12.94504165649414,3.865316867828369,0.011985722515719964,-5.3252507669857376e-05,-0.6852827051523948,-0.7281785176994462
1658858832.4780078,7157,1658858832,475746048,map,0.9071922898292542,12.943466186523438,3.8666493892669678,0.012118401007932593,-0.0008036053566190201,-0.6865092012080578,-0.7270196800858394
1658858832.5280855,7158,1658858832,525745280,map,0.9040302038192749,12.941680908203125,3.8677420616149902,0.01265857685360891,-0.0005098256867387178,-0.687731900270409,-0.7258542097833854
1658858832.5780964,7159,1658858832,575745280,map,0.8983679413795471,12.940823554992676,3.8682570457458496,0.012833317983189525,-0.000534974088397293,-0.6887078642623221,-0.7249251667968896
1658858832.6277623,7160,1658858832,625745536,map,0.8907098174095154,12.940727233886719,3.8682191371917725,0.012945895253921608,-0.000964281105691841,-0.6895878782644638,-0.7240856524671228
1658858832.6782718,7161,1658858832,675745536,map,0.884117066860199,12.940266609191895,3.8679378032684326,0.01276672428692229,-0.0007220325879932819,-0.6902796203772397,-0.7234297029510038
1658858832.7281315,7162,1658858832,725746304,map,0.8784510493278503,12.939507484436035,3.867236614227295,0.012100994577759577,-0.0002422940433966811,-0.6906961892380173,-0.7230437617433032
1658858832.7786226,7163,1658858832,775746304,map,0.8733404874801636,12.938233375549316,3.8669955730438232,0.01153336349321267,0.00011281571289482073,-0.6910163844305727,-0.7227470686537907
1658858832.8281238,7164,1658858832,825746816,map,0.8687098622322083,12.936543464660645,3.8667948246002197,0.011811278448282945,0.0009071416401729251,-0.6914029959213036,-0.7223721810995407
1658858832.878571,7165,1658858832,875746816,map,0.8647207021713257,12.934768676757812,3.8651256561279297,0.012632013935150605,0.0017856360641693477,-0.69161060390974,-0.7221578887524479
1658858832.9286048,7166,1658858832,925746816,map,0.8614546060562134,12.932916641235352,3.8614609241485596,0.013424396077312642,0.0017431799766519016,-0.6917853914593696,-0.721976259358253
1658858832.978508,7167,1658858832,975746816,map,0.8582299947738647,12.929564476013184,3.854497194290161,0.012904044241167962,0.0014852185815252817,-0.6915791227448762,-0.7221839078457887
